,start,end,intensity,start_station_id,end_station_id
4812,49,59,0.1639594822999148,1728,1749
4813,49,60,0.06233069349129951,1728,1753
4814,49,61,0.09470433105334763,1728,1754
4815,49,62,0.030968264031863035,1728,1756
4816,49,63,0.573228423767018,1728,1757
4817,49,64,0.3386985153324091,1728,1758
4818,49,65,0.4143204315323766,1728,1763
4819,49,66,0.10017433314023713,1728,1765
4820,49,67,1.4275730566879394,1728,1767
4821,49,68,0.4235307547996578,1728,1768
4822,49,69,0.35441919936612776,1728,1769
4823,49,70,0.0674257849988037,1728,1770
4824,49,71,0.1494395837742176,1728,1798
4825,49,72,0.1252623454887299,1728,1807
4826,49,73,0.05261842536708577,1728,1809
4827,49,74,0.5105753112445207,1728,1813
4828,49,75,1.2461534777640633,1728,1814
4829,49,76,0.06886640794155695,1728,1815
4830,49,77,2.578050266892223,1728,1818
4831,49,78,0.20791389246062483,1728,1819
4832,49,79,0.019330600482014793,1728,1820
4833,49,80,0.6464602221440691,1728,1821
4834,49,81,0.11010063330584355,1728,1822
4835,49,82,0.9479831493967089,1728,1823
4836,49,83,0.005693478372815666,1728,1824
4837,49,84,0.0007369993339483447,1728,1860
4838,49,85,0.0,1728,1865
4839,49,86,0.008260570430152669,1728,1866
4840,49,87,0.015796320730247424,1728,1868
4841,49,88,7.639493425166918e-46,1728,1869
4842,49,89,3.820684453319905e-18,1728,1870
4843,49,90,0.0,1728,1871
4844,49,91,1.4171444211687573e-67,1728,1874
4845,49,92,8.866530818982801e-39,1728,1877
4846,49,93,0.3345573665037664,1728,2259
4847,49,94,0.5450428648646338,1728,2263
4848,49,95,0.2119254773420403,1728,2265
4849,49,96,0.36115228972916646,1728,2268
4850,50,0,0.00527089602221945,1729,171
4851,50,1,0.016453338379127512,1729,183
4852,50,2,0.001980390532410005,1729,189
4853,50,3,0.0027693180203613365,1729,225
4854,50,4,0.005015238069414664,1729,246
4855,50,5,0.0029646522854417353,1729,247
4856,50,6,0.011602976798590365,1729,248
4857,50,7,0.008277321960154918,1729,249
4858,50,8,0.0023463433179695082,1729,250
4859,50,9,3.960418170401704e-08,1729,251
4860,50,10,0.004543877018083748,1729,252
4861,50,11,0.011159395864233366,1729,253
4862,50,12,0.005993736010771389,1729,254
4863,50,13,0.0028487421817925693,1729,256
4864,50,14,0.004520300823922429,1729,258
4865,50,15,0.013587369170908649,1729,259
4866,50,16,0.0035769376648982403,1729,260
4867,50,17,0.0019183633597655752,1729,262
4868,50,18,0.037743980113498325,1729,264
4869,50,19,0.046937569521487546,1729,265
4870,50,20,0.008835368076401333,1729,289
4871,50,21,0.002498080351552258,1729,296
4872,50,22,0.00037579954041684144,1729,349
4873,50,23,0.0022721477042112383,1729,358
4874,50,24,0.0027141514881140597,1729,1017
4875,50,25,0.003639691810311904,1729,1019
4876,50,26,0.05072424043175063,1729,1024
4877,50,27,0.012522161832597844,1729,1025
4878,50,28,0.004735210519495043,1729,1028
4879,50,29,0.0002817127089872067,1729,1038
4880,50,30,0.006970364228803211,1729,1039
4881,50,31,0.010295095670582295,1729,1042
4882,50,32,0.004345481896327979,1729,1050
4883,50,33,0.005336570037104431,1729,1051
4884,50,34,0.008705215441045858,1729,1052
4885,50,35,0.003270373502750952,1729,1090
4886,50,36,0.010656356163466734,1729,1091
4887,50,37,0.007326040968135999,1729,1092
4888,50,38,0.0017360922269532542,1729,1093
4889,50,39,0.013592150263076237,1729,1096
4890,50,40,0.007041671923923097,1729,1097
4891,50,41,0.004560569605551899,1729,1098
4892,50,42,0.004110688640153932,1729,1102
4893,50,43,0.002020806825244418,1729,1720
4894,50,44,0.017614534678558103,1729,1721
4895,50,45,8.283778698498577e-05,1729,1722
4896,50,46,0.001038682692645017,1729,1725
4897,50,47,0.00716614219281726,1729,1726
4898,50,48,0.007232558441499144,1729,1727
4899,50,49,0.13268251049681723,1729,1728
4900,50,50,0.0030700664647600904,1729,1729
4901,50,51,0.0009763713049337891,1729,1730
4902,50,52,0.0077170010825355715,1729,1731
4903,50,53,0.005511205965454844,1729,1737
4904,50,54,0.001515731609564637,1729,1738
4905,50,55,0.006732083395978206,1729,1739
4906,50,56,0.008355745900982392,1729,1744
4907,50,57,0.0012430298850746398,1729,1745
4908,50,58,0.0041477262468749,1729,1748
4909,50,59,0.002092096944550849,1729,1749
4910,50,60,0.0007953297459573093,1729,1753
4911,50,61,0.0012084122177820735,1729,1754
4912,50,62,0.00039515012886289327,1729,1756
4913,50,63,0.0073143036137367735,1729,1757
4914,50,64,0.004321739243813226,1729,1758
4915,50,65,0.005286662879846899,1729,1763
4916,50,66,0.0012782085753464095,1729,1765
4917,50,67,0.018215605393025237,1729,1767
4918,50,68,0.0054041851414173385,1729,1768
4919,50,69,0.004522332674408666,1729,1769
4920,50,70,0.0008603423040938265,1729,1770
4921,50,71,0.0019068253462590598,1729,1798
4922,50,72,0.0015983276269736111,1729,1807
4923,50,73,0.0006714027477605314,1729,1809
4924,50,74,0.006514859852166754,1729,1813
4925,50,75,0.015900720389582283,1729,1814
4926,50,76,0.0008787244239597021,1729,1815
4927,50,77,0.03289551180942295,1729,1818
4928,50,78,0.0026529482348016235,1729,1819
4929,50,79,0.00024665539093848024,1729,1820
4930,50,80,0.008248729726087776,1729,1821
4931,50,81,0.001404866588386321,1729,1822
4932,50,82,0.012096114372395625,1729,1823
4933,50,83,7.264787946723214e-05,1729,1824
4934,50,84,9.403994408014448e-06,1729,1860
4935,50,85,0.0,1729,1865
4936,50,86,0.00010540356626375166,1729,1866
4937,50,87,0.00020155854282612016,1729,1868
4938,50,88,9.747872235576285e-48,1729,1869
4939,50,89,4.875132660069187e-20,1729,1870
4940,50,90,0.0,1729,1871
4941,50,91,1.8082537660683862e-69,1729,1874
4942,50,92,1.1313552455129636e-40,1729,1877
4943,50,93,0.004268898842698236,1729,2259
4944,50,94,0.006954660360214703,1729,2263
4945,50,95,0.002704135420534888,1729,2265
4946,50,96,0.004608245837699408,1729,2268
4947,51,0,5.707827002171074e-07,1730,171
4948,51,1,1.7817238033221005e-06,1730,183
4949,51,2,2.1445550259544e-07,1730,189
4950,51,3,2.99888066613037e-07,1730,225
4951,51,4,5.430976280740133e-07,1730,246
4952,51,5,3.210407167122828e-07,1730,247
4953,51,6,1.2564805679598974e-06,1730,248
4954,51,7,8.963470649140577e-07,1730,249
4955,51,8,2.5408434714351957e-07,1730,250
4956,51,9,4.288717075353958e-12,1730,251
4957,51,10,4.920541750213107e-07,1730,252
4958,51,11,1.2084454099128023e-06,1730,253
4959,51,12,6.490586819005499e-07,1730,254
4960,51,13,3.08488869424e-07,1730,256
4961,51,14,4.895011207194401e-07,1730,258
4962,51,15,1.471369427802199e-06,1730,259
4963,51,16,3.8734479494042463e-07,1730,260
4964,51,17,2.0773861101959129e-07,1730,262
4965,51,18,4.087276773305021e-06,1730,264
4966,51,19,5.08284598295334e-06,1730,265
4967,51,20,9.567776003930474e-07,1730,289
4968,51,21,2.7051587479767864e-07,1730,296
4969,51,22,4.069514471832664e-08,1730,349
4970,51,23,2.460497411511634e-07,1730,358
4971,51,24,2.9391411036252914e-07,1730,1017
4972,51,25,3.941404100347147e-07,1730,1019
4973,51,26,5.492902686383326e-06,1730,1024
4974,51,27,1.3560186566450583e-06,1730,1025
4975,51,28,5.127735844190979e-07,1730,1028
4976,51,29,3.0506528689497146e-08,1730,1038
4977,51,30,7.54817264321172e-07,1730,1039
4978,51,31,1.114850773203843e-06,1730,1042
4979,51,32,4.705700662799707e-07,1730,1050
4980,51,33,5.778945065195137e-07,1730,1051
4981,51,34,9.426834364529115e-07,1730,1052
4982,51,35,3.541471147883992e-07,1730,1090
4983,51,36,1.153971491719462e-06,1730,1091
4984,51,37,7.933333209508189e-07,1730,1092
4985,51,38,1.8800056099551968e-07,1730,1093
4986,51,39,1.4718871698873966e-06,1730,1096
4987,51,40,7.625391390451679e-07,1730,1097
4988,51,41,4.938618069891046e-07,1730,1098
4989,51,42,4.4514442172412187e-07,1730,1102
4990,51,43,2.1883216277988392e-07,1730,1720
4991,51,44,1.907469171183108e-06,1730,1721
4992,51,45,8.970462618875614e-09,1730,1722
4993,51,46,1.1247843051304559e-07,1730,1725
4994,51,47,7.760179623565494e-07,1730,1726
4995,51,48,7.832101447864684e-07,1730,1727
4996,51,49,1.4368122856855128e-05,1730,1728
4997,51,50,3.324559655919534e-07,1730,1729
4998,51,51,1.0573076142942863e-07,1730,1730
4999,51,52,8.35670196661035e-07,1730,1731
5000,51,53,5.968057440621577e-07,1730,1737
5001,51,54,1.641378196922637e-07,1730,1738
5002,51,55,7.290139518299936e-07,1730,1739
5003,51,56,9.048395543349215e-07,1730,1744
5004,51,57,1.3460708601774124e-07,1730,1745
5005,51,58,4.491552056752102e-07,1730,1748
5006,51,59,2.2655213422781058e-07,1730,1749
5007,51,60,8.612586134251744e-08,1730,1753
5008,51,61,1.308583560998727e-07,1730,1754
5009,51,62,4.279061028574959e-08,1730,1756
5010,51,63,7.92062288699537e-07,1730,1757
5011,51,64,4.679989862860647e-07,1730,1758
5012,51,65,5.724900853623649e-07,1730,1763
5013,51,66,1.3841656883409302e-07,1730,1765
5014,51,67,1.9725588189353534e-06,1730,1767
5015,51,68,5.852165124275209e-07,1730,1768
5016,51,69,4.897211487947584e-07,1730,1769
5017,51,70,9.316603882368083e-08,1730,1770
5018,51,71,2.0648916529411536e-07,1730,1798
5019,51,72,1.7308210120438922e-07,1730,1807
5020,51,73,7.270586854387892e-08,1730,1809
5021,51,74,7.054909226590974e-07,1730,1813
5022,51,75,1.7218810769750992e-06,1730,1814
